"Curator Talk – Labyrinth: Knossos, Myth & Reality",,17:00 - 18:00,,"With Dr Andrew Shapland, Sir Arthur Evans Curator of Bronze Age and Classical Greece at the Ashmolean"
Sir Stephen Hough - SJE Arts International Piano Series,,19:30 - 21:30," Scriabin: Piano Sonata No. 5, Op. 53",Mompou: Cants Màgics
Bobbi Pickard in conversation with David Isaac,,17:30 - 18:30,", a former Chair of Stonewall and the Equality & Human Rights Commission.",Join Bobbi Pickard in conversation with 
Frank Neffke: Inventing modern invention - the professionalization of technological progress in the US,,14:30,,"As invention in the US shifted from craftsmanship to a science-based activity in the early 20th century, profound changes happened in the production of knowledge. Using historical records on the universe of inventors, and research laboratories, matched to decennial census records between 1850 and 1940, we find that as inventions start becoming more complex (combining more technologies) and innovative (using increasingly newer technologies), they reflect qualitative shifts in how individuals, teams and geography produce knowledge that persist until today."
Italian Language Weekend: Intermediate,29 Apr 2023,,+44 (0)1865 270368,Do you want to give your Italian a boost? Come and join us for an interactive and fun language weekend! Nine hours of face-to-face teaching and practice in classes limited to 18 participants.
Is AI bad for democracy? Analyzing AI’s impact on epistemic agency,,17:30 - 19:00,,"Cases such as Cambridge Analytica or the use of AI by the Chinese government suggest that the use of artificial intelligence (AI) creates some risks for democracy. This paper analyzes these risks by using the concept of epistemic agency and argues that the use of AI risks to influence the formation and the revision of beliefs in at least three ways: the direct, intended manipulation of beliefs, the type of knowledge offered, and the creation and maintenance of epistemic bubbles. It then suggests some implications for research and policy.
"
Artificial Intelligence and the Labour Market,,9:45 - 17:00,+44 (0)1865 270368,This interactive day school will bring together cutting-edge research on advances in natural language processing and machine learning in the labour market and the relevance of its use for policies of re-skilling and up-skilling of workers.
Intaglio Printmaking 2-Day Workshop,1 Apr 2023,10:30 - 16:00, Booking required,"In this two-day in-person workshop, we will be delving into Ashmolean's collection of mythological creatures and using them as inspiration for our own unique creations."
Cascading Principles - Conrad Shawcross and James Sparks with Fatos Ustek,,17:00 - 18:15, to register.,"Cascading Principles is an exhibition of nearly 40 stunning, mathematically inspired sculptures which are living alongside the mathematicians that inspired them in the Andrew Wiles Building, home to Oxford Mathematics. In this 'lecture', chaired by exhibition curator Fatos Ustek, Conrad will talk about what motivates his work, and how the possibilities and uncertainties of science inform his art. In turn, mathematician James Sparks will describe how a mathematician responds to art motivated by their subject."
Marina Abramović @ Pitt Rivers Museum by Clare Harris,,18:30 - 19:30,,"Professor Clare Harris will give a talk exploring her experience of working with the internationally celebrated performance artist Marina Abramović @ Pitt Rivers Museum installation that is currently on display in the heart of the Pitt Rivers Museum. The artist undertook a research residency at the museum in August 2021, from which she created the work now on view at the Pitt Rivers and which also inspired her Gates and Portals installation at Modern Art Oxford."
Principal's Conversation: Ambassador Andrzej Antoszkiewicz,,17:30 - 18:30,,"Join Principal John Bowers KC in conversation with Ambassador Andrzej Antoszkiewicz, who is Deputy Head of Human Resources Management at the Organisation for Economic Co-operation and Development (OECD) and, prior to this, worked at FIFA on the World Cup in Qatar, and at NATO."
Understanding Bonhoeffer Today,,10:00 - 16:00,,"In a world that continues to be fractured by the evils of systemic racism, in which popularist nationalism has grown in many parts of the world and where we are still trying to come to terms with the legacies of slavery and colonialism, it can be argued that contemporary Christian mission and ministry has much to learn from the activism and theology of Dietrich Bonhoeffer. The challenges that faced Bonhoeffer are not the same as those that are confronting us in our present epoch. And yet the challenge to ‘carry the cross’ and being a distinctive presence in the world representing Jesus Christ has not changed."
International Women's Day: In conversation with...Joeli Brearley,,17:30 - 18:30," on International Women’s Day in 2015, as a space for mothers to share their stories of discrimination. The project quickly grew and today ",Our annual International Women’s Day talk. Kellogg Fellow Dr Yasmin Khan will be in conversation with Joeli Brearley.
German Language Weekend: Advanced,13 May 2023,,+44 (0)1865 270368,Do you want to give your German a boost? Come and join us for an interactive and fun language weekend! Nine hours of face-to-face teaching in classes limited to 18 participants.
The doped Mott state and pseudo gap of cuprate high T c superconductors studied by angle resolved photoelectron spectroscopy,,14:00 - 15:00,,"Followed by tea, coffee and cakes"
Noble Violence in Early Modern Europe,,9:45 - 17:00,+44 (0)1865 270368,"This day school brings together four of the principal experts on the topic of noble honour and duelling in early modern Britain and Europe, and places elite violence in England into comparative perspective. Join us in Oxford or online."
Christ Church Seasonal Gardens Tour,,14:30,,"Take a seasonal tour of Christ Church's beautiful private gardens and Meadow with our Head Gardener, John James. Learn about their history, conservation, current and future planting schemes and enjoy a few hours of peace and quiet away from the bustling city."
German Language Weekend: Beginners,13 May 2023,,+44 (0)1865 270368,Do you want to give your German a boost? Come and join us for an interactive and fun language weekend! Nine hours of face-to-face teaching in classes limited to 18 participants.
"Parliament at War: The House of Commons and the British Revolution, 1640-1660",,9:45 - 17:00,+44 (0)1865 270368,"Celebrating the launch of nine new volumes by the History of Parliament's House of Commons 1640-1660 section. Entitled, 'Parliament at War' it explores the role of MPs in the revolutionary struggles of the mid-17th century. Join us in Oxford or watch online."
French Language Weekend: Upper Intermediate,6 May 2023,,+44 (0)1865 270368,Do you want to give your French a boost? Come and join us for an interactive and fun language weekend! Nine hours of face-to-face teaching and practice in classes limited to 18 participants.
German Language Weekend: Lower Intermediate,13 May 2023,,+44 (0)1865 270368,Do you want to give your German a boost? Come and join us for an interactive and fun language weekend! Nine hours of face-to-face teaching and practice in classes limited to 18 participants.
